Question,Category
"Crate a table ""Subject"" in the same database using the following structure. Use Sub_lD as Primary key.",Apply
Sort the records in the Students table by Last Name in Ascending Order and save the sort.,Apply
Display the list of students whose age 15.,Apply
"Design a query to display only the Student First Name, Date of Birth, Sub_Name and teacher of the student whose Last Name is ""Kumar.""'.",Apply
Write each of the following sets in the roaster form,Apply
"Let P = {1, 2,3}, Q = {2,3,5.} and R = t4,5,6} be three sets. Verify that",Apply
"Write down the power set of the set S = {1, Ø, {Ø}}, where Ø is an empty set",Apply
Write the set {X|2<x < 5}in the single interval notation.,Apply
"Consider the relation R defined on the set, A = {a,b,c,d} as",Apply
Show that f is not one to one.,Understand
Prove that g is one-to-one and onto.,Understand
Explain the High-level language and Low-level language with a suitable example.,Understand
List out and define the common flow charts symbols.,Remember
Explain the following control structure with proper flow chart,Understand
Formulate a pseudocode algorithm for each of following,Create
identity and correct the errors in each of the following statements.,Apply
Write a statements (or comment) to accomplish each of the following,Apply
"using the statements, you write in above Question 01 c. write a complete program that",Create
Write down the Structure of a function in ‘C’ programing language and define each components of a function. Define & differentiate between Struct & function in C language.,Understand
Write a C program to accomplish the followings.,Create
Write a C program to carry out the followings:,Create
Describe the term process in your own words,Understand
List out and explain the parts of the process data structure with the aid of a diagram,Understand
Explain the two (02) main models of Inter-Process Communication,Understand
The operating system maintains three (03) types of scheduling queues of processes. List out and describe the types of scheduling queues and process states which are being stored in each queue,Remember
"Compare and contrast the Non-pre-emptive, pre-emptive CPU scheduling",Understand
"Processes are switching from state to state during their life cycle. Due to this process state switching, the Operating System needs to make some decisions to assign the CPU for some other process. List out a minimum of four (4) such situations when CPU scheduling decisions may happen.",Understand
"Find the average waiting time (AWT) and the average turnaround time (ATAT) of the following set of processes using the Shortest Remaining Time First algorithm, where the quantum is four (4).",Apply
Define the terms deadlock and safe state in your own words?,Remember
"Consider the following Resource Allocation Graph 1. Is the system deadlocked? If so, which processes and resources are involved?",Analyze
Draw the Wait fir Graph of the above Resource Allocation Graph I_,Apply
"Suppose we have three (03) processes and four (04) resources, RI, R2, R3, and R4. Total resources, RI has twelve (12) instances, R2 has ten (10) instances, R3 has seven (07)instances, and R4 has nine (09) instances. Is this system in a safe state? Prove your answer using Banker's algorithm.",Analyze
Explain the following memory allocation policies with the aid of a simple example.,Understand
What does it mean by File in Secondary Memory'? And list out the file types supported in UNIX operating system,Remember
What are the three principal components of a data-processing system?,Remember
What is a search engine? Describe the two types of search engines,Remember
What was the motivation for the creation of higher-level programming languages? How did the introduction of higher-level programming languages change computing?,Understand
Why does the Internet have a decentralized structure?,Understand
More than 90 percent of personal computers run a version of the Microsoft Windows operating system. Provide two (02) advantages and two (02) disadvantages of using Microsoft Windows OS?,Understand
Define morality and ethics in your own words.,Remember
What is the problem of moral luck?,Understand
What is phishing?,Remember
What characteristics of the Internet make censorship difficult?,Understand
What is intellectual property (IP)? List down five (05) examples of IP.,Remember
What is the difference between a trademark and a trade secret?,Understand
"In what way, do digital video recorders provide viewers with less privacy than videotape recorders?",Understand
Explain the difference between an opt-in policy and an opt-out policy.,Understand
Facebook has introduced the Tag Suggestion feature. Discuss the morality of this feature with Kantianism and act utilitarian ethical views.,Evaluate
What is the purpose of the Carnivore system?,Remember
Explain increasing importance of computer simulations playing in science and engineering?,Understand
What is whistleblowing? What harms does it cause? What benefits may it Provide?,Understand
"In which conditions the release of a worm, virus, or Trojan horse would be morally justifiable?",Evaluate
Write a Bourne Again Shell (BASH) script with the name Que01_AB that would perform the following tasks to store the details of students in the ICT department:,Create
"Modify the above script in part (a) to store all the student details you entered into a file called, studentinfo.log' with the format given below:",Apply
Write a shell script with the name Que01_C to separate the uploaded answer scripts batch-wise. Follow the steps given below:,Create
Write a BASH script with the name Que02A that will perform the following tasks,Create
Explain 5 benefits using Link State Protocol over Distance Vector Protocol?,Create
Briefly explain the need of protocol in data communication.,Understand
Compare the roles of MAC address and IP address.,Understand
Explain the use of OSI Layers and Protocols?,Understand
Write down the OSI model layers and two protocols associated with each layer?,Remember
Briefly explain the following with suitable examples,Understand
How many subnets are needed in the network?,Apply
Which subnet mask will accommodate the number of IP addresses required for Room-114? How many usable host addresses will this subnet support?,Apply
Which subnet mask will accommodate the number of IP addresses required for Room-279? How many usable host addresses will this subnet support?,Apply
Which subnet mask will accommodate the number of IP addresses required for Room-312? How many usable host addresses will this subnet support?,Apply
Which subnet mask will accommodate the number of IP addresses required for Room-407? How many usable host addresses will this subnet support?,Apply
What is the first subnet to accommodate the largest LAN.,Apply
What is the second subnet to accommodate the second largest LAN.,Apply
What is the third subnet to accommodate the third largest LAN.,Apply
What is the fourth subnet to accommodate the fourth largest LAN.,Apply
"All data structure is obeying the triple structure such that, Domain, Function, and Axiom (D, F, A)'"". Briefly explain the triple structure of data structure.",Understand
Discuss the following major operations of Data Structure.,Understand
Explain the classification of data structure using a suitable diagram and example.,Understand
"What is Time Complexity of an Algorithm and big o notation'? Briefly explain Best Case, Worst Case and Average Case of an algorithm.",Understand
Calculate the Time Complexity of the following code snippet.,Apply
"Briefly explain the term ""Array Data Structure"". Explain the advantages and Disadvantages of array data structure'?",Understand
"Justify the following sentence, ""Linked List is better Data Structure than Array Data Structure”",Evaluate
Draw the suitable diagram for the following primitive operation on Linked List Data Structure.,Create
"Explain the term ""Last-in-First-out- using two (02) real world example. What is ""Push and Pop"" primitive operation on stack Data Structure?",Understand
Convert the infix expression a / b * (c + (d - e)) into postfix form using stack Data Structure technique.,Apply
"Define the terms, ""Queue Data Structure-, ""Front-, and ""Rear-. Fill the array space in each of the following situation and write the value of front, rear, and size in each situation.",Understand
Write short note on following tree terminologies and find the value of them for the given tree.,Understand
Construct Binary Search Tree for the given list of numbers and then. create the AVL tree using some suitable rotations.,Apply
What is Depth-first search and find the Depth-first search order for the given graph when you start from vertex C.,Understand
 Why do we need Sorting Algorithms when we use data structures?,Understand
Write sort notes for the following term in the sense of Sorting Algorithms.,Understand
Write the algorithm of Bubble sort step by step and sort the following unsorted array using Bubble sorting algorithm,Apply
Briefly explain the Merge sort algorithm. And using Merge sort algorithm. sort the following unsorted array.,Understand
Write all five (05) steps of Quick sort algorithm and use the Quick sort algorithm to sort the following array.,Apply
List out four (04) fundamental features of Object Oriented Programming?,Remember
Software developers often build models during design. List three (03) reasons for building object oriented models?,Understand
Briefly describe what is an object in the context of object oriented programming?,Understand
Mention two (02) object oriented programming languages?,Remember
Write short note for the followings,Understand
What is meant by UML?,Understand
What are the two (02) types/Categories of diagrams available in UML? Give an example for each type?,Understand
Briefly describe what the following UML diagrams are typically used for,Understand
Briefly explain three (03) basic building blocks of UML,Understand
What is meant by UML CASE tool?,Understand
State two (02) open source UML CASE tools and two (02) Commercial CASE tools?,Understand
State what is a use case diagram?,Understand
Briefly explain the followings in a use case diagram,Understand
What is the deference between Primary actor and Secondary actor in a use case diagram?,Understand
Briefly explain the process of modeling use cases?,Understand
Consider the following scenario,Understand
Briefly explain what is a class diagram in object oriented analysis and design?,Understand
What is the difference between class notation and object notation in UML?,Understand
Represent the given information of Student class using class notation.,Apply
Identify the relationships between the given classes of following diagrams,Understand
Identify the classes of the system.,Understand
"Draw a class diagram for this information, and be sure to label all associations with appropriate multiplicities.",Create
"Write a Java program to implement a stack data structure using an arraydata structure. Size of the arrayis seven (07)(The elements are:13 2 78 5 4).The program should includepop(), peek(), and push() methods. As well as implement the followings:",Apply
"Write a Java program to implement a queuedata structure using Linked listdata structure as following (The program include enQueue(), deQueue() and display() methods).",Apply
Create a class called Sorting with main method,Create
Create two integer arrays called arrl[] and arr2[] with 6 elements in main method as follow.,Create
Create a void type of method called insertionSort() for insertion sort algorithm by using arr1[] array.,Create
Create another method called bubbleSort() for bubble sort algorithm using arr2[] array.,Create
"Display the output as follow,",Create
Find the sum and number of nodes of the binary tree by creating separate two methods.,Apply
"Display the In-order, Pre-order and Post-order traversal by creating separate methods",Apply
Create method called findMaxMin() and display the maximum and minimum value of above binary tree.,Apply
List out the categories of combinational circuit with one example for each,Remember
Briefly explain .the difference between Odd and Even parity schemes used in Error Detection,Understand
Show that the binary sum of Decimal Numbers 25910 and 61210 is 1000 0111 0001,Apply
State 03 Applications of Half Subtractor,Remember
Draw the circuit diagram of a 2-to-1 Line Multiplexer,Apply
Table 1 is the truth table of a BCD8421 to 2421Code converter. Analyze and design the Circuit for this Code Convertor. Your answer must include the simplification steps and the logic circuit,Apply
Define the categories of sequential circuits based on functions they perform.,Understand
Briefly explain the statement,Understand
The following is the State table of a sequential circuit that consist of two D flip flops A & B and an external input X.,Understand
Connect a LED which shows RED for error and GREEN for no errors,Apply
Explain the following three types of functional organization,Understand
List five key responsibilities of the project manner in a project,Remember
Define the term stakeholder. Who are the potential stakeholders in a software project?,Understand
What is the Project Charter? Explain the contents of the project charter.,Understand
Explain with What is project Work Breakdown Structure (WBS)? suitable example.,Understand
Given the following activities.,Understand
Briefly explain the following financial analysis methods for the project.,Understand
Define the formula for calculating the NPV.,Understand
"Calculate the Net Present Value (NPV) of a project which requires an initial invest of $265,000 and it is expected to generate a net cash flow of $50,000 each month for 12 months. Assume that the salvage (recover) value of the project is zero. The target rate of return is 12% per annum.",Apply
What is Project Quality Management?,Understand
Briefly explain the followings project quality control process.,Understand
"Design Science Research Methodology is an emerging approach for Information Systems (IS) related research, and is recommended by the Association for Information Systems (AIS). This research approach typically consists of five phases, each of which leads to production of output as listed below.",Understand
Explain all the components of the above argumentation model with respect to a selected IS related research claim that you would like to use for explanation purpose.,Apply
"Select three of following concepts associated with Social Networks and Social Network Analysis (SNA), and briefly introduce each of the selected concept using suitable illustrative diagrams for example situations.",Understand
Sentiment analysis is one of the important approaches in digital research in areas such as one in relation to social media. In this context opinion mining is a very useful tool to be adopted. Explain a framework that could be used in defining opinion that can capture major dimension and concerned aspects relevant with an illustration to a typical social network related research.,Understand
construct a frequency table for the above data. Draw a histogram and a frequency polygon.,Apply
Compute the sample mean. median and mode,Apply
Calculate the variance and standard deviation.,Apply
Draw a boxplot and a dot pot and discuss the behaviors.,Apply
Discuss the skewness of the distribution. Based on the results. comment on the shape of the distribution.,Analyze
Compare the height (in inches) of male (Sex=1) and female (Sex=2) students who participated in the study.,Analyze
Examine the descriptive statistics and discuss the general shapes of the distributions.,Analyze
Examine the correlation between weekly sales and their relative price levels.,Analyze
Examine the descriptive statistics and discuss the behaviors of the variables.,Analyze
Discuss the correlation between Income and Consumption Expenditures.,Analyze
Estimate the regression equation and discuss the model validations.,Create
Are there any data points that you would classify as outliers?  without outlier predict the body weight when the height is 190 cm.,Analyze
Examination marks obtained by l0 students in three subjects (Subject-A and Subject-B) are given table 05.,Remember
What is the first 24 bits in a MAC address called?,Remember
Which of the following statements describe the network shown in the graphic? (Choose two),Understand
Refer to the exhibit: For what two purposes does the Ethernet protocol use Physical Addresses? (Choose two),Understand
Which two locations can be configured as a source for the IOS image in the boot system command? (Choose two),Understand
What is the difference between a CSU/DSU and a modem?,Understand
A Cisco router is booting and has just completed the POST process' It is now ready to fined and load IOS image What function does the router perform next?,Understand
A network administrator cannot initiate a Telnet session with the indicated router. What is the cause of this failure?,Analyze
At which layer of the OSI model does PPP perform?,Understand
Which command encrypts all plaintext passwords?,Understand
Which router IOS commands can be used to troubleshoot LAN connectivity problems? (Choose three),Apply
Which two options are valid WAN connectivity methods? (Choose two),Understand
Which Layer 2 protocol encapsulation type supports synchronous and asynchronous circuits and has built-in security mechanisms?. Refer to the exhibit. The two connected ports on the switch are not turning orange or green. What would be the most effective steps to troubleshoot this physical layer problem?,Understand
Why will a switch never learn a broadcast address?,Understand
What does a Layer 2 switch use to decide where to forward a received frame?,Analyze
What are three benefits of implementing VLANs? (Choose three),Understand
VLAN 3 is not yet configured on your switch. What happens if you set the switch port access VLAN 3 command interface configuration mode?,Apply
"As a network technician, do you know which are valid modes for a switch port used as a VLAN trunk?",Remember
Which two link protocols are used to carry multiple VLANs over a single link'? (Choose two),Remember
Which two comrades can be used to verify a trunk link configuration status on a Cisco switch? (Choose Two),Apply
Which item represents the standard IP ACL?,Remember
On which options are standard access lists based?,Understand
Which statement about access lists that are applied to an interface is true?,Analyze
Which subnet mask would be appropriate for a network address range to be submitted for up to eight LANs. with each LAN containing 5 to 26 hosts?,Analyze
Which two benefits are provided by using a hierarchical addressing network addressing scheme? (Choose two),Apply
Given an IP address 172.16.28.252 with a subnet mask of 255.255.240.0. what is the correct network address?,Apply
Ref.er to the exhibit. What is the most appropriate summarization for these routes?,Analyze
A router receives information about network i91.168.10.0 24 from multiple sources.What will the router consider the most reliable information about the path to that network'?Refer to the graphic.,Analyze
Which parameter can be tuned to affect the selection of a static route as a backup when a dynamic protocol is also being used?,Analyze
Which command allows you to verify the encapsulation type (CISCO or IETF) for a frame relay link?,Apply
Which two statements about static NAT translations are true?,Understand
What are two benefits of using NAT?,Understand
List out the essential elements of a symmetric cipher and briefly explain them?,Understand
Compare and contrast a block cipher and a stream cipher?,Analyze
"For each plain text p, substitute the cipher text letter C by using the following key E (5, p) = (5+p) mod 26 What will be the cipher text for the following plain text?",Remember
List out and briefly explain two problems with the one-time pad encryption technique?,Understand
Briefly describe the feistel cipher?,Understand
Briefly describe the Data Encryption Standard (DES) algorithm with a help of flow chart?,Understand
The following binary is the input for S-box of the one-round version of DES. Find the output from the S-box,Apply
What is the purpose of the State array in Advanced Encryption Standard (AES)?,Understand
How is the S-box constructed in AES?,Understand
How many bytes in State are affected by ShiftRows in AES?,Understand
Briefly describe MixColumns used in AES.,Understand
Compare and contrast between AES and DES.,Analyze
List out the principal elements of a public-key cryptosystem?,Remember
Briefly describe roles of the public and private key in public - key cryptosystem?,Understand
Briefly describe the three broad categories of applications of public-key cryptosystems?,Understand
Perform encryption and decryption using the RSA algorithm for the following,Apply
You are attempting to run an Nmap port scan on a web server. Which of the following commands would result in a scan of common ports with the least amount of noise in order to evade IDS?,Apply
You perform a scan of your company's network and discover that TCP port 123 is open. What services by default run on TCP port 123?,Remember
ICMP ping and ping sweeps are used to check for active systems and to check,Understand
"When utilizing technical assessment methods to assess the security posture of a network, which of the following techniques would be most effective in determining whether end-user security training would be beneficial?",Analyze
Which of the following types of firewall inspects only header information in network traffic?,Understand
Which of the following items of a computer system will an anti-virus program scan for viruses?,Understand
"While checking the setting on the internet browser, a technician finds that the proxy server settings have been checked and a computer is trying to use itself as a proxy server. What specific octet within the subnet does the technician see?",Remember
A newly discovered flaw in a software application would be considered which kind of security vulnerability?,Analyze
Which of the following tools will scan a network to perform vulnerability checks and compliance auditing?,Remember
Which of the following programming languages would most likely be used?,Remember
Describe how Service SET ID (SSID) operates and draw Five Wi-Fi Chalking Symbols,Understand
List down three (3) Wi-Fi Encryption algorithms,Remember
Compare and contrast WEP and WPA2 Protocols,Analyze
Describe the TCP communication Flags and explain how three-way handshake works using a suitable diagram.,Understand
Describe Banner Grabbing attack and list two (2) possible counter measures.,Understand
List five (5) useful network vulnerability testing tools.,Remember
Describe the Lifecycle of a virus.,Understand
ABC Trade Investment is small company with a small network. Study the Exhibit Carefully.,Understand
Make sure the entire network is able to ping PC X,Apply
"If the Admin replaces the PC 1.1.1.10 instead of PC 1.1.1.1, the port FastEthernet 0/1 of Server Switch must ignore the Communication but still allow the 1.1.1.1 be connected back without admin involvement.",Understand
Write a java program to accept a plain text and a key to convert it as Cipher text using Rail Fence Cipher algorithm.,Create
Write a java program to read a plain text and a key and create a cipher text applying Play Fair Cipher technique.,Create
Scan the 192.168.2.90 and List Down Open Ports.,Apply
"By using the Above IP Address, Access the Web Server and provide the screenshot.",Apply
Login to 192.168.2.90/sev-home/ . Provide the login screenshot.,Apply
Find username and password for below Telnet Access.,Remember
"By using above machine, if you want to change the root password. Firstly, where you are going to modify the parameters. Provide the screen shot.",Apply
Given Machine (Raveen 1 — 192.168.2.91). Find the Apache Version.,Understand
Pull out all the user accounts by using wpscan,Apply
Crack the password for a user accounts question b that you find.,Apply
Using sqlmap find the databases available in the below URL,Apply
List down all the tables which are belongs to the database bricks.,Remember
Find the columns in the table where you find question b.,Remember
What it meant by software engineering?,Understand
"""Software engineering is different when compared to other engineering disciplines like civil engineering, mechanical engineering etc."" Do you agree with this statement? Briefly explain your view by giving at least one reason.",Analyze
Explain the difference between software engineering and system engineering.,Understand
Write four (04) reasons for the failure of a software product.,Remember
There are two classifications for software quality attributes as Bohem's Classification and McCall's Classification. Name two (02) attributes of each classification and give one (01) example for each attribute.,Remember
List out four (04) characteristics of software process.,Remember
Match the most suitable expecting goal with following software system?,Remember
List down three (03) principles of agile methodology.,Remember
Your development team has received three projects given as follow. Which project/projects can use waterfall model?,Analyze
Discuss the characteristics of software development projects to which prototyping would be suitable.,Analyze
Software Designing is an important process in system Development Life Cycle”. Do you agree with this statement? Briefly explain by giving two (02) reasons.,Analyze
Define what is meant by requirement engineering,Understand
List out the four (04) processes in requirements engineering.,Remember
List down three (03) functional requirements for the above system.,Remember
What is the deliverable at the end of the process in requirements specification?,Remember
What is meant by requirement elicitation and analysis?,Understand
The requirements document is an official statement of what the software system developers worked on. What should be included in the requirements document? Name any two (02) readers for each?,Understand
"Following steps explain the ""customer is paying by cash"" scenario in Point-of—Sale system.",Understand
Briefly discuss the need of software maintenance?,Understand
List four (04) types of software maintenance and briefly explain them.,Remember
List out four (04) software maintenance model.,Remember
Propose one (01) strategy to reduce maintenance cost?,Apply
What is the difference between Validation and Verification in software testing?,Understand
"In a software program, there are two kinds of statements that we can clearly distinguish. What are those two basic program statements?",Remember
"Following is a basic function that Computes the average of all those numbers in the input array in the positive range [MIN, MAX]. The maximum size of the array is AS. But, the array size could be smaller than AS in which case the end of input is represented by -999:",Analyze
Draw a Control Flow Graph (CFG) for ReturnAverage().,Create
"From the CFG, identify the set of paths to satisfy the complete statement coverage criterion.",Analyze
"Identify additional paths, if necessary, to satisfy the complete branch coverage criterion.",Analyze
"For each path identified above, derive their path predicate expressions",Analyze
Solve the path predicate expressions to generate test input and compute the corresponding expected outcomes.,Apply
"Are all the selected paths feasible? If not, select and show the path is infeasible, if it exists.",Analyze
List these three (03) types of interfaces and describe them in brief.,Remember
System Integration testing is performed at different levels of granularity. List these three (03) levels of Integration Testing.,Remember
List five (05) common approaches that we can use to perform system integration testing and explain three (03) of them.,Remember
Functional Testing is a key test type that is categorized under System Testing. Define what is Functional Testing and list down the types of Functional testing available in the industry.,Remember
Following points discuss about seven test types categorized under System testing. Write the test type which is discussed in each point.,Understand
Write short notes on following test types.,Understand
Quality assurance testing has seven general principles. List three (03) of those general testing principles,Remember
Draw a process flow diagram that reflects the main activities that a QA team conducts in a QA test cycle.,Create
Write three (03) positive and two (02) negative test cases to test the following login screen. All required information needs to be given for each test case.,Apply
"Briefly describe the ""four schools of thoughts"" perused in AI using appropriate examples.",Understand
Discuss the evolution of Artificial Intelligence (AI) in past two centuries while emphasizing the key milestones.,Understand
Explain how the 'Turing Test' can be adopted to evaluate modern intelligent systems.,Understand
Discuss the influence of DARPA project by US Defense for the advancement of Artificial Intelligence (AI) through research.,Understand
Discuss the social impacts of Artificial Intelligence in a context of 'Man-Machine Co-Existence’.,Analyze
Why searching is important as a problem solving strategy?,Understand
Evaluate the Breadth-First Search (BFS) and Depth-First Search (DFS) under the following criteria:,Analyze
Why DFS is better than BFS?,Analyze
What is the major drawback of DFS?,Understand
Compare and contrast Depth Limited Search and Iterative Deepening Search (IDS).,Analyze
What are the two (02) major types of knowledge? Which category is more influential for Artificial Intelligence?,Understand
What are the essential requirements of a typical Knowledge Representation (KR) system?,Understand
Compare and contrast the reasoning paradigms Deductive Reasoning Vs. Inductive reasoning.,Analyze
Distinguish a proposition with a generic statement (Non- Proposition).,Understand
Explain the terms 'tautology' and 'contradiction' using suitable examples.,Understand
Prove the validity of the following propositional logic expression using a truth table.,Apply
Explain the concept of forming a quantified sentence using 'quantifiers' by using appropriate examples.,Understand
Express the following statements in predicate logic.,Apply
Explain the quantified inference rules Existential instantiation and Existential generalization using appropriate examples.,Understand
List the key steps of a Genetic Algorithm (GA).,Remember
What are the key genetic operations take place in a typical GA?,Analyze
Compare the two (02) GA types Generational GA with Steady-State GA.,Analyze
Discuss the following issues occur in Fitness Proportionate Selection (FPS),Analyze
Discuss the importance of the evolutionary computing using the real world applications of Genetic Algorithms.,Analyze
What are the properties exhibited by any typical complex systems found in real world context?,Understand
What is the 'Butterfly Effect'?,Understand
"Explain the concept ""Intelligence as an emerging property of complexity"" using an appropriate example.",Understand
Discuss the essential characteristics of a system comprised of Multi-Agents.,Analyze
Define the term 'Rational Agent'.,Analyze
Describe the Task Environment of an automated fire control robot using the parameters of PEAS.,Understand
What are the questions those can be asked based on this knowledge?,Analyze
Write prolog clauses to define the following relationships.,Apply
Convert above rules into Prolog clauses.,Apply
What do you conclude for each situation (below) by following the above rules? Save queries / corresponding responses (answers obtained through execution of the Prolog program) on a text / MS word file. This file also must be included in the submission.,Apply
State the Technology Push/Demand Pull Theory- in terms of web 2.0 technologies,Understand
Differentiate web 1.0 and web 2.0 technologies with four (04) key points,Analyze
"List the Web 2.0 -Tech Push/ Demand Pull Layers"" and briefly explain each layer",Understand
"One of the six big ideas behind web 2.0 is ""Individual production and user generated content"". Discuss how it is addressed in web 2.0 technologies",Analyze
List out two (02) cloud service models and state their basic functions,Understand
List three (03) common and three (03) essential characteristics of cloud computing,Understand
State three (03) advantages of cloud computing and explain them briefly,Understand
"Discuss the uses and importance of having virtual workspace in office environment, in terms of virtualization and cloud computing.",Analyze
What is implied by each letter in the term SMART?,Understand
State three (03) advantages of SMART governance,Understand
There are different models of e-governance. State which model is highly significant for adopting in developing countries? Justify your answer.,Apply
State and briefly explain the stages of e-governance.,Understand
Define the term digital divide.,Understand
State three (03) factors that induce the digital divide and three (03) possible solutions to digital divide,Understand
Discuss how social data could be used in marketing to achieve competitive advantage.,Analyze
Discuss how internet safety could be promoted among children.,Analyze
What are the methods of collecting data; Explain with suitable examples.,Understand
"In a biology experiment the lengths of 30 worms were measured, to the nearest 1mm. The results were as follows.",Understand
Draw Bar than.,Apply
"By using suitable method, compute the sample mean, median and mode.",Apply
Calculate the Quartiles,Apply
Briefly explain the following terms for grouped data,Understand
Compute the following,Apply
"For each of the following numbers, determine whether the number is rational or irrational. If the number is rational, express it in fraction form.",Understand
Divide the polynomial 3x3 5x2 + 10x – 3 by 3x + 1.,Apply
Define the set S := tx E,Understand
What is multimedia? What could be the basic elements of multimedia?,Understand
"Linear, Hierarchical and Network are basic taxonomies of information structure. Explain each with the aid of diagram and suitable example.",Understand
Multimedia can be used in many applications among different industries / domains. Select one application in an industry / domain and explain it in brief.,Apply
What is the use of reflection and refraction of light in multimedia application development?,Understand
What is digitization? Explain how text can be digitized.,Understand
What is rendering? What are the basic three (03) methods of rendering? Briefly explain each.,Understand
"Calculate the file size of a music recorded at 24-bit stereo sound, 2 minutes 45 seconds long and at a 44.1KHz sample rate.",Apply
"Explain the steps, how Sinhala voice is converted in to English voice.",Understand
Important properties of an image are given below. Explain in brief why these properties are important for an image.,Understand
What is virtual reality? Write a brief account on an application where virtual reality is highly used in a selective domain.,Understand
What is MIDI? Differentiate MIDI sound from digital audio.,Understand
What are the two (02) factors affect the Quality of the sound? Briefly explain each of it.,Understand
"Using the image resources provided, manipulate an image as shown in Figure 01",Apply
Create a new Photoshop Document having a width of 10 inches and 12 inches’ width with a resolution of 72 pixels/inch.,Apply
"Using the appropriate tools and the resources provided, design the web pages as given in Figure 02 and Figure 03",Apply
Provide the following hyperlinks in respective webpages,Apply
"Define the term ""Computer Network"" in your own words by including the key terms.",Understand
Briefly explain the importance of getting acknowledgement (feedback) in data 'communication.,Understand
What are the two (02) types of digital transmission? State them briefly.,Understand
"Differentiate the term ""Bandwidth"" in both Digital and Analog transmission.",Understand
Briefly explain the following terms related to digital transmission.,Understand
What is meant by Broadcasting Link? What are the two (02) types of Broadcasting Links?,Understand
"Categorize the following multiple access methods under three (03) categories such Channelized Access Method, Random Access Method and Controlled Access Method",Analyze
Differentiate CSMAJCD (Collision Detection) and CSMA/CA (Collision Avoidance) multiple access methods using their main functionality.,Analyze
Draw separate diagrams to illustrate main four (04) physical Network Topologies.,Create
What are the two (02) different techniques used in switched communication?,Remember
Write down the suitable guided media type for the following interfacing (connecting) methods.,Remember
Give four (04) types of electromagnetic waves which can be used as unguided media in communication.,Remember
Differentiate the functions of Switch and Hub.,Analyze
Write down the appropriate Protocol Data Unit (PDU) related to following OST reference model.,Remember
State two (02) protocol names which work on Application layer of the OSI reference model.,Remember
Explain about the MAC Address in brief.,Understand
What are the four (04) layers of TCP/IP model? Which layers of OSI reference model are associated to Network Access layer of the TCP/IP model?,Remember
Compare IPv4 and IPv6 by filling the following comparison table.,Analyze
Briefly explain the following terms in IP addressing,Understand
Write down four (04) multiple layers of Computer network security?,Remember
What is meant by Cryptography?,Understand
Relate the terms Internet and World Wide Web (WWW) in data communication.,Understand
Differentiate CSMA/CD (Collision Detection) and CSMA/CA (Collision Avoidance) multiple access methods using their main functionality.,Analyze
Write down the appropriate Protocol Data Unit (PDU) related to following OK reference model.,Remember
"Define class, object an Method in java and explain them with an example using java.",Understand
What is constructor. Write the purpose of a constructor in java classes.,Understand
Write down the differences between the constructors and methods.,Analyze
What is constructor chaining in java?,Understand
Examine the code segments and fill the blanks with appropriate variables and coding.,Analyze
Explain about inheritance in java.,Understand
List out and describe the types of inheritance in java.,Remember
Explain subclass and superclass in java.,Understand
"Explain the concept with a simple code that multiple inheritance, is not supported in java through Class.",Apply
What will be the output for the following coding?,Analyze
Explain the concept of method overloading and method overriding in java,Understand
Write the difference between method overloading and method overriding in java.,Understand
Can we override a static method? State the reasons.,Understand
Can we override a main method? State the reasons.,Understand
Write a simple coding to explain the method overriding in java.,Apply
Write a Java program for following scenario.Create a class named Vehicle and another class for create objects named VehRegestration.,Apply
"Define the term 'internet"" in the context of communication in a networked environment.",Understand
"State why HTTP is called as a ""stateless protocol""",Understand
State two (02) limitations of Internet Protocol (IP) and further explain how those issues are addressed by Transmission Control Protocol (TCP).,Understand
State the composition of an HTTP response?,Remember
Explain the structure of an HTTP response based on the composition of the HTTP response.,Understand
Define the term 'static document' in terms of static web pages.,Understand
List four (04) basic functionalities of a web server.,Remember
"State what is meant as ""eavesdropping"" and further give two (02) common encryption standards used to prevent eavesdropping",Understand
State how the dynamic web pages are classified,Understand
"Compare the classifications stated in d (I), based on the tasks performed during a request-response between client and server.",Analyze
Say you are given a task to develop an 'e-commerce' web application. Which client-server architecture will you choose to implement this? Justify your answer.,Evaluate
What is the client Server computing architecture? Illustrate with suitable diagram.,Understand
Compare and contrast the Static website and the Dynamic website?,Analyze
Discuss in detail about the components of information architecture,Understand
What are some of the common lists that can be used in HTML when designing a Web page?,Remember
How do you create links to sections within the same page in HTML?,Apply
Describe the followings in HTML:,Understand
Differentiate Forms and Frames in HTML with an example,Understand
What are the Conditional statements in JavaScript? Briefly describe,Remember
What are the predefined functions in JavaScript? Give 3 examples with syntax,Understand
Describe briefly following DOM objects,Understand
Explain briefly how PHP generates HTML webpages,Understand
Briefly describe the following Functions in PHP:,Understand
Explain the following PHP function for MySQL:,Understand
"Design a Home page which describe their important services. Contact page through which one can contact them for queries via their web site.The Science, IT, Management pages also should be created",Create
"Write JavaScript functions to find the Validate the Contact page (Figure 02 in question 01) properly as there should not be any null entry,",Apply
"Write a JavaScript program to display the user entered name in the name textbox in the Contact page (Figure 02 in question 01) and a message that ""Your message has been sent successfully"" using a message Box when a send button is being clicked",Apply
"Develop the following Simple PHP Calculator to perform two number arithmetic calculation,",Apply
Write a Program to swap the following two numbers in PHP:,Understand
Create a database called MyDreamJob and save all the entries from (figure 02-The Contact Page) in question 01 into the database,Create
Draw and name the key elements of triangular architecture of Web Services.,Create
